Index_Trong_Tap_Val,ISIC_ID_Anh_Loi,Nhan_Thuc_Te (True Label),Mo_Hinh_Doan_Sai (Predicted Label)
2,ISIC_0066612,MEL,NV
5,ISIC_4391227,BCC,MEL
7,ISIC_0013729,VASC,BCC
14,ISIC_0015415,BCC,SCC
16,ISIC_0025950,NV,MEL
17,ISIC_0066510,NV,BCC
18,ISIC_0034789,NV,MEL
22,ISIC_0010926,NV,SCC
23,ISIC_0010769,NV,MEL
26,ISIC_0061535,NV,MEL
29,ISIC_4602849,SCC,BCC
35,ISIC_5194092,NV,SCC
42,ISIC_6478823,NV,SCC
55,ISIC_0035936,NV,SCC
56,ISIC_0069453,NV,BCC
59,ISIC_0010477,NV,MEL
67,ISIC_0030766,BCC,NV
74,ISIC_4807554,SCC,VASC
75,ISIC_4829038,SCC,AK
80,ISIC_6298123,DF,BKL
86,ISIC_0057364,NV,BCC
91,ISIC_0070727,MEL,AK
93,ISIC_0066610,SCC,MEL
98,ISIC_1845181,SCC,VASC
102,ISIC_0000371,NV,MEL
105,ISIC_0060548,MEL,AK
108,ISIC_0015966,NV,SCC
110,ISIC_9214111,BCC,MEL
120,ISIC_0021276,BKL,AK
126,ISIC_4590186,MEL,SCC
127,ISIC_0027064,AK,VASC
140,ISIC_1775540,SCC,BCC
141,ISIC_2000184,SCC,NV
149,ISIC_0065459,AK,VASC
154,ISIC_4982700,SCC,BCC
165,ISIC_5461210,MEL,NV
169,ISIC_0010432,MEL,NV
172,ISIC_0307984,AK,MEL
181,ISIC_0012774,BCC,MEL
191,ISIC_9759583,VASC,BCC
192,ISIC_0063163,AK,MEL
194,ISIC_0035443,VASC,SCC
197,ISIC_0033980,MEL,NV
211,ISIC_0056514,AK,NV
214,ISIC_3650598,SCC,NV
221,ISIC_3130826,SCC,MEL
222,ISIC_0011451,NV,MEL
227,ISIC_0012481,NV,SCC
236,ISIC_1266614,SCC,BCC
240,ISIC_0023546,BKL,BCC
245,ISIC_0033627,NV,SCC
253,ISIC_0071207,NV,MEL
256,ISIC_1002134,BCC,MEL
257,ISIC_0033387,MEL,NV
260,ISIC_0012801,BCC,VASC
261,ISIC_5337158,AK,MEL
271,ISIC_5863574,MEL,NV
278,ISIC_5275192,AK,BCC
289,ISIC_0012514,BCC,BKL
296,ISIC_0014000,BCC,MEL
304,ISIC_0060448,NV,BCC
308,ISIC_7808642,MEL,NV
325,ISIC_3697702,MEL,BCC
332,ISIC_0015542,AK,MEL
334,ISIC_3394520,MEL,SCC
335,ISIC_0057008,NV,SCC
338,ISIC_0071428,BCC,MEL
343,ISIC_0053983,NV,BCC
344,ISIC_0025592,MEL,SCC
351,ISIC_0061609,SCC,MEL
355,ISIC_0014347,MEL,SCC
356,ISIC_0073177,AK,MEL
361,ISIC_0024845,BKL,NV
365,ISIC_9221004,AK,SCC
368,ISIC_4314742,SCC,BCC
374,ISIC_1871611,NV,MEL
379,ISIC_0060487,MEL,VASC
380,ISIC_7110531,MEL,NV
391,ISIC_0014424,BCC,VASC
405,ISIC_0235728,SCC,VASC
430,ISIC_1937581,AK,SCC
431,ISIC_4230181,BCC,SCC
436,ISIC_0011285,MEL,AK
446,ISIC_0013508,VASC,SCC
